word,positive,negative
be willing,1,0
be willing to,1,0
be worthy of,1,0
be wrapped up in,1,0
beaming with joy,1,0
beaming with satisfaction,1,0
bestow favour on,1,0
bless,1,0
boisterously entertaining,1,0
bolster up,1,0
boost,1,0
bother,0,1
bow,1,0
bow and scrape,1,0
build up sb.'s public image,1,0
buoyant,1,0
burst with joy,1,0
by the emperor himself,1,0
cable a message of congratulations,1,0
cannot bear to part,1,0
care,1,0
care about,1,0
care for,1,0
care for tenderly,1,0
carefree,1,0
carefree and joyous,1,0
caress,1,0
carry,1,0
carry out public memorial ceremony,1,0
catch the fancy of,1,0
celebrate,1,0
celebrate in song,1,0
celebration,1,0
centralization,1,0
centralize,1,0
centre,1,0
cheer,1,0
cheerful,1,0
cheerfully,1,0
cheers resound like rolls of thunder,1,0
cherish,1,0
cherish the memory of,1,0
chrish deeply,1,0
citation,1,0
cite,1,0
clap one's hands and express one's gratification,1,0
"clap one's hands and shout ""Well done!""",1,0
coddle,1,0
come out to meet,1,0
come to an agreement,1,0
comfortable,1,0
commend,1,0
commend and award,1,0
commendation,1,0
commendment,1,0
complacence,1,0
complacency,1,0
complacent,1,0
complacently,1,0
compliment,1,0
concentrate,1,0
concentrate on,1,0
concentration,1,0
concern oneself with,1,0
congratulate,1,0
congratulate each other,1,0
congratulate with respect,1,0
congratulation,1,0
consecrate,1,0
consecration,1,0
consent,1,0
consider,1,0
consideration,1,0
content,1,0
contented,1,0
contentment,1,0
cosset,1,0
count on,1,0
covet,1,0
craving,1,0
crazy about,1,0
cry for,1,0
cupped-hand salute,1,0
dance for joy,1,0
dare,1,0
deeply respect,1,0
deign to approve,1,0
delighted,1,0
delightedly,1,0
demand,1,0
deserve to be called,1,0
desire,1,0
devote a lot of care,1,0
dispense rewards or honors according to merit,1,0
display filial piety,1,0
do ... on one's own,1,0
do obeisance,1,0
dote on,1,0
draw a circle to show approval,1,0
dream in the night,1,0
dream of,1,0
drool,1,0
eagerly look forward to,1,0
ecstatic,1,0
elated,1,0
embosom,1,0
enchanted,1,0
encourage,1,0
encourage and reward,1,0
encourage by promoting and rewarding,1,0
encouragement,1,0
endorse,1,0
endorse a project,1,0
endorsement,1,0
enjoyable,1,0
enormously proud of one's success,1,0
enraptured,1,0
enshrine and worship,1,0
enthralled,1,0
entirely free from worry,1,0
entranced,1,0
envious,1,0
envy,1,0
esteem,1,0
eulogise,1,0
eulogize,1,0
eulogy,1,0
everybody is happy,1,0
exalt,1,0
excessively praise,1,0
exclaim in admiration,1,0
expect,1,0
expectation,1,0
express admiration for,1,0
express appreciation,1,0
express good wishes,1,0
express one's admiration,1,0
express one's agreement,1,0
express one's gratification,1,0
express one's gratitude,1,0
express one's thanks,1,0
extend one's congratulations,1,0
extend one's greetings,1,0
extend thanks,1,0
extol,1,0
exultant,1,0
exultation,1,0
fain,1,0
fall in love,1,0
fall in love with,1,0
fascinated,1,0
favor,1,0
favour,1,0
feed mother birds,1,0
feel attached to,1,0
feel complacent,1,0
feel concerned,1,0
feel deep anxiety about,1,0
feel deeply attached to,1,0
feel grateful,1,0
feel grateful as a personal kindness,1,0
feel grateful to,1,0
feel gratified,1,0
feel happy,1,0
feel indebted,1,0
feel like,1,0
feel no qualms,1,0
feel no qualms upon self-examination,1,0
feel nostalgic about,1,0
feel pleased,1,0
feel proud and elated,1,0
feel relieved,1,0
feel transported,1,0
feeling pleased,1,0
felicitate,1,0
felicitation,1,0
filled with joy,1,0
find ... satisfactory,1,0
fit in exactly with one's wishes,1,0
fix one's mind on,1,0
focus,1,0
focus one's attention upon,1,0
follow with interest,1,0
fondle,1,0
fondle admiringly,1,0
forget oneself,1,0
franchise,1,0
free from inhibition,1,0
free from inhibitions,1,0
free from worry,1,0
full of joy,1,0
fully deserve,1,0
gasp in admiration,1,0
gay,1,0
get dizzy with success,1,0
get on in the world,1,0
give a lot of care,1,0
give a reward,1,0
give a salute,1,0
give an ovation to,1,0
give consideration to,1,0
give free rein to one's thoughts and feeling,1,0
give much care and thought,1,0
give priority to,1,0
give tacit consent to,1,0
give the green light,1,0
glad,1,0
gladfulness,1,0
gladly,1,0
gladness,1,0
gladsomeness,1,0
glee,1,0
gleefulness,1,0
glorify,1,0
glorify ... by erecting a monument writing the biography,1,0
go into raptures,1,0
go out to meet,1,0
go to meet,1,0
grant,1,0
gratified,1,0
gravitate,1,0
great expectation,1,0
great rejoicing,1,0
greedy for,1,0
greet,1,0
hallow,1,0
hanker,1,0
hanker after,1,0
happily,1,0
happy,1,0
happy and carefree,1,0
happy and gay,1,0
happy and harmonious,1,0
happy and pleased with oneself,1,0
have ... in mind,1,0
have a clear conscience,1,0
have a feeling caused by something nice,1,0
have a good opinion of,1,0
have a love affair,1,0
have a mind to,1,0
have a partiality for sth.,1,0
have a special fondness for sth.,1,0
have extravagant hopes,1,0
have fond dream,1,0
have gracious concern,1,0
have long been looking forward with eager expectancy,1,0
have one's head turned by success,1,0
have one's wish fulfilled,1,0
have partiality for,1,0
have sth. in mind,1,0
have tender affection for,1,0
have the audacity to,1,0
have the impertinence to,1,0
have wild wishes,1,0
heartly admire,1,0
high-spirited,1,0
highly praise,1,0
highly respect,1,0
hilarious,1,0
hilarity,1,0
hold a memorial ceremony,1,0
hold a memorial ceremony for,1,0
hold dear,1,0
hold in deep respect,1,0
hold in esteem,1,0
honor,1,0
honour,1,0
hope,1,0
hope earnestly,1,0
hope for,1,0
in an attempt to,1,0
in great delight,1,0
in high spirits,1,0
in the hope of,1,0
inquisitive,1,0
insouciant,1,0
intend to,1,0
intercede for,1,0
itch to have a go,1,0
jealous,1,0
jealousy,1,0
jocund,1,0
jolly,1,0
jovial,1,0
joyful,1,0
joyous,1,0
joyously,1,0
jubilance,1,0
jubilancy,1,0
jubilant,1,0
jubilation,1,0
keep,1,0
keep a close watch on,1,0
keep an eye on,1,0
keep one's eyes open,1,0
keep sth. in mind,1,0
kotow,1,0
kowtow,1,0
languish,1,0
laud,1,0
laughing and joking,1,0
laughing merrily,1,0
lay equal stress on,1,0
lay particular emphasis on,1,0
lay stress on,1,0
light up with pleasure,1,0
light-hearted,1,0
lighthearted,1,0
like,1,0
line the street to welcome,1,0
long,1,0
long for,1,0
long for day and night,1,0
look after,1,0
look back nostalgically,1,0
look exhilarated,1,0
look forward to,1,0
look happy,1,0
look long and steadily upon,1,0
look out,1,0
look pleased with oneself,1,0
look to,1,0
look up to,1,0
look upon sb. with favour,1,0
looking up to,1,0
love,1,0
love and esteem,1,0
love dearly,1,0
"love me, love my dog",1,0
love tenderly,1,0
madly cling to,1,0
make a bow,1,0
make a bow with hands clasped,1,0
make a fetish of,1,0
make a pet of,1,0
make an exception in sb.'s favour,1,0
make bold,1,0
many thanks,1,0
meet,1,0
merry,1,0
mind,0,1
mirth,1,0
mirthful,1,0
mirthfulness,1,0
miss,1,0
miss badly,1,0
mollycoddle,1,0
most gratifying to the people,1,0
need,1,0
nod agreement,1,0
nod approval,1,0
nod assent,1,0
nod one's approval,1,0
not for the sake of the monk but for that of the Buddha,1,0
not hesitate to,1,0
not mind,1,0
not object to,1,0
not scruple to,1,0
not tire of,1,0
observe,1,0
offer a reward,1,0
offer a sacrifice to,1,0
offer sacrifice to,1,0
offer sacrifices and pray for rain,1,0
offer sacrifices to,1,0
offer sacrifices to gods or ancesters,1,0
offer sacrifices to the gods or the spirits of the dead,1,0
out of admiration,1,0
overjoyed,1,0
overpraise,1,0
pamper,1,0
pass,1,0
pay attention to,1,0
pay close attention to,1,0
pay equal attention to,1,0
pay homage,1,0
pay homage to,1,0
pay one's respect to,1,0
pay one's respects to,1,0
pay religious homage,1,0
pay respect to,1,0
pay special attention to,1,0
pay tribute to,1,0
permissible,1,0
permission,1,0
permissive,1,0
permit,1,0
pick and choose,1,0
pine,1,0
piously worship,1,0
place particular stress on,1,0
pleasantly surprised,1,0
pleased,1,0
post a reward,1,0
pour a libation,1,0
praisal,1,0
praise,1,0
praise and honour,1,0
praise highly,1,0
pray and say thanks for peace and prosperity,1,0
prefer,1,0
preference,1,0
present oneself to,1,0
prize,1,0
promote,1,0
promotion,1,0
prop,1,0
prop up,1,0
prostrate oneself,1,0
prostrate oneself in worship,1,0
put in a good word,1,0
put in a good word for,1,0
put in good word,1,0
put one's hand on one's forehead in jubilation,1,0
put two palms together,1,0
quite pleased,1,0
radiant with happiness,1,0
raptured,1,0
rapturous,1,0
ratification,1,0
ratify,1,0
readiness,1,0
receive,1,0
reception,1,0
recognize the worth of,1,0
regard as important,1,0
regard as positive,1,0
regard highly,1,0
rejoice,1,0
relaxed and happy,1,0
remember with longing,1,0
request granted,1,0
require,1,0
requirement,1,0
resign oneself to,1,0
respect,1,0
respect and admire,1,0
respect and love,1,0
rest content,1,0
return a compliment,1,0
return a salute,1,0
revel in,1,0
revere,1,0
reverence,1,0
reward,1,0
reward ... with bounties,1,0
reward and promote,1,0
reward with food and drink,1,0
"reward with gifts or money, food, drink etc.",1,0
rhapsodic,1,0
sacrifice and renovate,1,0
salutation,1,0
salute,1,0
salute by going down on one knee,1,0
sanction,1,0
satisfied,1,0
see from the angle of,1,0
see in,1,0
see off those who depart and welcome those who arrive,1,0
see the parting guests and welcome the new arrivals,1,0
see what is right and have the courage to do it,1,0
seeing the thing one thinks of the person,1,0
self-Contented,1,0
self-complacency,1,0
self-satisfaction,1,0
self-satisfied,1,0
set store by,1,0
shed grateful tears,1,0
shore up,1,0
"shout ""Bravo!""",1,0
"shout ""Well done!""",1,0
show appreciation for sb.,1,0
show consideration for and take care to preserve,1,0
show due respect for sb's feelings,1,0
show favouritism to,1,0
show filial obedience,1,0
show good will,1,0
show kind concern for,1,0
show loving care for,1,0
show one's concern over,1,0
show one's joy,1,0
show respect,1,0
show respect for,1,0
show self-satisfaction,1,0
show solicitude for,0,1
show tender affection for,1,0
show tender care for,1,0
show the utmost solicitude,1,0
side with,1,0
sigh with admiration,1,0
sing praises,1,0
sing the praise of,1,0
sing the praises of,1,0
smug,1,0
spare sb's feelings,1,0
speak approvingly of,1,0
speak favorably of,1,0
speak highly of,1,0
speak of ... in glowing terms,1,0
spoil,1,0
stand by,1,0
stand for,1,0
stand on tiptoe and look forward to,1,0
stay up late on New Year's Eve,1,0
steel one's heart,1,0
stress,1,0
stress one aspect at the expense of anther,1,0
strongly advocate,1,0
support,1,0
tacitly approve,1,0
tacitly consent to,1,0
take ... to heart,1,0
take a fancy to,1,0
take a lot of trouble,1,0
take account of,1,0
take an interest in,1,0
take as fovorite,1,0
take care,1,0
take good care of,1,0
take into account,1,0
take into consideration,1,0
take note of,1,0
take notice of,1,0
take pleasure in,1,0
take sb.'s part,1,0
take seriously,1,0
telegraph one's congratulations to sb.,1,0
thank,1,0
thank ... with a gift,1,0
thank goodness,1,0
thank heaven,1,0
thank you,1,0
thanks,1,0
think about,1,0
think fondly of,1,0
think highly of,1,0
think longingly of sb. far away,1,0
think of,1,0
think of ... with respect,1,0
think of in the day,1,0
thirst for,1,0
thoroughly delighted,1,0
"thump on the table and shout ""bravo!""",1,0
to expect,1,0
to one's liking,1,0
to one's satisfaction,1,0
to the immense satisfaction of the people,1,0
to the satisfaction of all,1,0
treasure,1,0
true love,1,0
unanimously agree,1,0
unanimously praise,1,0
uphold,1,0
vainly hope,1,0
value,1,0
value as a rarity,1,0
value highly,1,0
value highly and use sparingly,1,0
venerate,1,0
veneration,1,0
venture,1,0
very pleased with oneself,1,0
view from the angle of,1,0
viewy,1,0
volunteer,1,0
wait anxiously,1,0
want,1,0
want to,1,0
warm,1,0
welcome,1,0
well-Content,1,0
well-pleasing,1,0
whole world or nation joins in the jubilation,1,0
wild with joy,1,0
willingness,1,0
wish,1,0
wish anxiously,1,0
wish for,1,0
wish to,1,0
wishful,1,0
with boundless joy,1,0
with dancing eyebrows and radiant face-enraptured,1,0
with enthusiasm,1,0
with heroic spirit,1,0
"with justice on one's side, one is bold and assured",1,0
with keen interest,1,0
worry,0,1
worship,1,0
worship on bent knees,1,0
would like to,1,0
would rather,1,0
yearn,1,0
yearn day and night,1,0
yearn for,1,0
yearn for day and night,1,0
yen,1,0
(of woman) devastatingly beautiful,1,0
(of woman) exceedingly beautiful,1,0
(of woman) of unrivalled beauty,1,0
90 percent sure,1,0
A-one,1,0
Class A,1,0
God-given,1,0
Homeric,1,0
a cut above other people,1,0
a1,1,0
abbreviated,1,0
ablaze,1,0
ablaze with lights,1,0
able,1,0
able and efficient,1,0
able to handle a job with ease because one has had previous experience,1,0
able to hear and see well,1,0
able to keep a secret,1,0
able to pass the stiffest test,1,0
able to work hard and not be upset by criticism,1,0
able-bodied,1,0
ably,1,0
ably and efficiently,1,0
abound in gifts of nature,1,0
above criticism,1,0
above-board,1,0
aboveboard,1,0
absolutely fair,1,0
absolutely fearless,1,0
absolutely necessary,1,0
absolutely true,1,0
absorbed,1,0
abstemious,1,0
abstemiousness,1,0
abstruse,1,0
abundant,1,0
abundantly,1,0
abundantly clear,1,0
accessibility,1,0
accommodating,1,0
accordant,1,0
according to reason,1,0
according to rules,1,0
according to the facts,1,0
accurate,1,0
accurately,1,0
ace,1,0
act as the occasion requires,1,0
active,0,1
actively,1,0
actual,1,0
actually,1,0
acute,1,0
acutely,1,0
adamance,1,0
adaptable in tactics,1,0
adept,1,0
adeptly,1,0
adeptness,1,0
admirable,1,0
adorability,1,0
adorable,1,0
adorableness,1,0
adroit,1,0
adroitly,1,0
adroitness,1,0
advancd bravely,1,0
advanced,1,0
advantageous,1,0
advantageously,1,0
adventurous,1,0
advisable,1,0
aesthetic,1,0
affability,1,0
affable,1,0
affableness,1,0
affably,1,0
affectedly sweet,1,0
affectionately,1,0
affirmative,1,0
affirmatively,1,0
affluence,1,0
affluent,1,0
afford food for thought,1,0
agile,1,0
agile and brave,1,0
agilely,1,0
agitated,1,0
agitatedly,1,0
agreeability,1,0
agreeable,1,0
agreeable to the hearer,1,0
agreeable to the taste,1,0
agreeableness,1,0
agreeably,1,0
alacrity,1,0
alert,1,0
alert and resourceful,1,0
alertly,1,0
all along,1,0
all in readiness,1,0
all is quiet,1,0
all live in plenty,1,0
all neglected tasks are being undertaken,1,0
all one could wish for,1,0
all present,1,0
all ready,1,0
all too clear,1,0
all-in-one,1,0
all-powerful,1,0
all-round,1,0
alluring,1,0
altruism,1,0
always have a book at one's hand,1,0
ambitious,1,0
ambitiously,1,0
amiability,1,0
amiable,1,0
amiableness,1,0
amiabley,1,0
amiably,1,0
amicability,1,0
amicable,1,0
amicableness,1,0
amicably,1,0
amity,1,0
ample,1,0
amply,1,0
amusing,1,0
amusingly,1,0
amusive,1,0
analytically pure,1,0
and the reverse is also true,1,0
animate,1,0
antique,0,1
aplomb,1,0
apparency,1,0
apparent,1,0
apparently,1,0
apparentness,1,0
appear in all her glory,1,0
appetizing,1,0
applicable,1,0
apposite,1,0
approachability,1,0
appropriate,1,0
appropriately,1,0
apropos,1,0
apt,1,0
aptly,1,0
arch,1,0
ardent,0,1
ardently,0,1
aromatic,1,0
arousing general interest,1,0
arranged in good order,1,0
arrowy,1,0
articulate,1,0
artistic,1,0
artistically,1,0
artless,0,1
as a matter of expediency,1,0
as a matter of fact,1,0
as always,1,0
as amatter of course,1,0
as beautiful as a painting,1,0
as beautiful as brocade,1,0
as before,1,0
as clear as daylight,1,0
as easy as blowing off dust,1,0
as easy as falling off a log,1,0
as easy as turning one's and over,1,0
as easy as winking,1,0
as facile as traveling along a familiar road in light carriage,1,0
as firm as a rock,1,0
as good as before,1,0
as good as new,1,0
as good as one's word,1,0
as graceful as before,1,0
as hard as a nails,1,0
as one sees fit,1,0
as pure as jade and as clean as ice,1,0
as scheduled,1,0
as secure as Mount Taishan,1,0
as solid as a rock,1,0
as stable as mount Taishan,1,0
as the opportunity arises,1,0
as well blended as milk and water,1,0
assiduity,1,0
assiduous,1,0
assiduously,1,0
assiduousness,1,0
assumed,1,0
assumptive,1,0
assuredness,1,0
astute,1,0
astutely,1,0
at ease,1,0
at hand,1,0
at life's full flowering,1,0
ataraxia,1,0
attentive,1,0
attentively,1,0
attentiveness,1,0
attract attention,1,0
attractive,1,0
audacious,1,0
audaciously,1,0
auspicious,1,0
auspiciously,1,0
authentic,1,0
authoritative,1,0
avidly,1,0
awe inspiring,1,0
awe-inspiring,0,1
awesomely,1,0
balanced,1,0
balmy,1,0
barefaced,1,0
baronial,1,0
basal,1,0
basic,1,0
basically,1,0
be a cinch,1,0
be able to adapt oneself to different circumstances,1,0
be in easy circumstances,1,0
be indifferent to fame and fortune,1,0
be interesting,1,0
be left intact,1,0
be meaningful,1,0
be much sought after,1,0
be nothing difficult,1,0
be of consequence,1,0
be popular,1,0
be richly endowed by nature,1,0
be second to none,1,0
be sharp-eyed,1,0
be the laughingstock of the world,1,0
be with one voice,1,0
beaming,1,0
beauteousness,1,0
beautiful,1,0
beautiful and charming,1,0
beautiful and intelligent,1,0
beautifully,1,0
beauty,1,0
befitting,1,0
beguiling,1,0
being a matter of record,1,0
being a yes-man,1,0
being all the rage,1,0
being common knowledge,1,0
being documented,1,0
being glad to have one's errors pointed out,1,0
being in order,1,0
being in the ascendant,1,0
being in vogue,1,0
being irresolute when firmness is needed,1,0
being modest about one's talent or learning,1,0
being much sought after,1,0
being of help,1,0
being on record,1,0
being over cautious,1,0
being relevant to the subject,1,0
being softhearted,1,0
being the acme of perfection,1,0
being there for all to see,1,0
being very studious,1,0
being well arranged,1,0
believable,1,0
beneficial,1,0
benevolent,1,0
benevolently,1,0
benign,1,0
beseechingly,1,0
best,1,0
best-known,1,0
best-quality,1,0
bewitching,0,1
bewitchingly charming,1,0
beyond dispute,1,0
beyond doubt,1,0
beyond example,1,0
beyond question,1,0
beyond reproach,1,0
big,1,0
big and strong,1,0
big hearted,1,0
big-chested,1,0
bighearted,1,0
bistable,1,0
blameless,1,0
blandness,1,0
blank,0,1
blatant,0,1
blazing,1,0
blinding,1,0
blissfulness,1,0
bluffness,1,0
blunt,0,1
blunt and tactless,1,0
bluntly,1,0
bluntly and tactlessly,1,0
bold,1,0
bold and generous,1,0
bold and powerful,1,0
bold and unconstrained,1,0
bold and uninhibited,1,0
bold and unrestrained,1,0
bold and vigorous,1,0
boldly,1,0
boldly and generously,1,0
boldly and powerfully,1,0
boldly and vigorously,1,0
bolt upright,1,0
bonhomie,1,0
borne out by ironclad evidence,1,0
bosomy,1,0
both large and complete,1,0
both politically conscious and professionally competent,1,0
bothbrave and resourceful,1,0
bothintelligent and courageous,1,0
bounteous,1,0
bracing,1,0
brainy,1,0
bran-new,1,0
brand new,1,0
brand-new,1,0
brave,1,0
brave-looking,1,0
bravely,1,0
brawny,1,0
brazenly,0,1
break a new path,1,0
break fresh ground,1,0
break the cauldrons and sink the boats,1,0
breakthough,1,0
brief,1,0
brief and to the point,1,0
briefly,1,0
bright,1,0
bright and beautiful,1,0
bright and cheerful,1,0
bright and clean,1,0
bright and clear,1,0
bright and piercing,1,0
bright as snow,1,0
bright-coloured,1,0
bright-coloured and beautiful,1,0
brightly,1,0
brightly and beautifully,1,0
brightly and cheerfully,1,0
brightly and clearly,1,0
brightly lit,1,0
brightly-coloured and beautifully,1,0
brilliant,1,0
brilliant and dazzling,1,0
brilliant as brocade,1,0
brilliantly,1,0
brilliantly illuminated,1,0
brim with talent,1,0
brimming with energy,1,0
brio,1,0
brisk,1,0
briskly,1,0
briskness,1,0
broad,1,0
broad and level,1,0
broad and profound,1,0
broad-mind,1,0
broad-minded,1,0
broad-mindly,1,0
broadly,1,0
broadminded,1,0
bumper grain harvest,1,0
burning,1,0
burnone's boats,1,0
bursting with energy,1,0
bustle,1,0
bustling,0,1
bustling with activity,1,0
busty,1,0
busy,1,0
buxom,1,0
buzzing with activity,1,0
by every possible means,1,0
by hook or by crook,0,1
by the scheduled time,1,0
call for deep thought,1,0
calm,1,0
calmand tranquil,1,0
calmly,1,0
calmly and tranquilly,1,0
calmness,1,0
candid,1,0
candidly,1,0
canonic,1,0
canonical,1,0
capable,1,0
capable and experienced,1,0
capable and vigorous,1,0
capably,1,0
captivating,1,0
cardinal,1,0
carefreeness,1,0
careful,1,0
careful and precise,1,0
careful in calculation and strict in budgeting,1,0
carefully,1,0
carefully and neatly,1,0
carefully and precisely,1,0
carefulness,1,0
catch one's attention,1,0
catch the eye,1,0
categorically,1,0
caution,1,0
cautious,1,0
cautious and conscientious,1,0
cautiously,1,0
cautiously and conscientiously,1,0
cautiousness,1,0
celebrated,1,0
central,1,0
centralized,1,0
ceremonious,1,0
ceremoniously,1,0
certain,1,0
certainly,1,0
certified,1,0
challenging,1,0
changes ten thousand times without departing from the original aim or stand,1,0
charitable,1,0
charming,1,0
charming and beautiful,1,0
charming and gentle,1,0
charmingly,1,0
charmingly and gently,1,0
chastly,1,0
cheap,0,1
cheaply,1,0
cheapness,1,0
chesty,0,1
chief,1,0
chiefly,1,0
childish and tender,1,0
chivalrous,1,0
chivalrously,1,0
choice,1,0
chummy,1,0
circumspect,1,0
circumspect and farseeing,1,0
circumspection,1,0
circumspectly,1,0
civilized,1,0
clarified,1,0
clean,1,0
clean-handed,1,0
cleanly,1,0
clear,1,0
clear and bright,1,0
clear and coherent,1,0
clear and definite,1,0
clear and distinct,1,0
clear and logical,1,0
clear and melodious,1,0
clear and resounding,1,0
clear and rippling,1,0
clear and sharp,1,0
clear and sweet,1,0
clear at a glance,1,0
clear-cut,1,0
clear-sighted,1,0
clear-thinking,1,0
clear-visioned,1,0
clearheaded,1,0
clearly,1,0
clearly and brightly,1,0
clearly and definitely,1,0
clearly and logically,1,0
clearly and resoundingly,1,0
clearly demarcated,1,0
clearness,1,0
clemency,1,0
clever,1,0
clever and deft,1,0
cleverly,1,0
cleverness,1,0
close,0,1
close and convenient,1,0
close and conveniently,1,0
close to the true case,1,0
close upon sb.'s heels,1,0
closely reasoned and well argued,1,0
closemouthed,1,0
cloud nine,1,0
coherent,1,0
collected,1,0
collectedly,1,0
collectedness,1,0
colourful,1,0
colourfully,1,0
comefirst on the list,1,0
comeliness,1,0
comely,1,0
comfort,1,0
comfort and pleasure,1,0
comfortable and relaxed,1,0
comfortable with autumn wind,1,0
comfortably,1,0
comfortably off,1,0
comical,1,0
comically,1,0
coming straight to the point,1,0
coming within one's jurisdiction,1,0
commanding the wind and the clouds,1,0
commendable,1,0
commendably,1,0
common,1,0
commonly,1,0
compact,1,0
compactly,1,0
companionability,1,0
companionableness,1,0
comparatively well-off,1,0
compassionate,1,0
compendious,1,0
compendiously,1,0
competent,1,0
competently,1,0
complaisance,1,0
complete,1,0
completely,1,0
completely new,1,0
completely ripe,1,0
compliance,1,0
compliancy,1,0
complimentary,1,0
composed,1,0
composure,1,0
concealing one's real feelings,1,0
concentrated,1,0
concise,1,0
concise and comprehensive,1,0
concise and to the point,1,0
concisely,1,0
concisely and comprehensively,1,0
conciseness,1,0
conclusive,1,0
conclusively,1,0
concord,1,0
concordant,1,0
concordantly,1,0
concrete,1,0
conduct evil activities openly,1,0
conform to no conventional pattern,1,0
conformable,1,0
conformation,1,0
conformity,1,0
congenial,1,0
conscientious,1,0
conscientious and meticulous,1,0
conscientiously,1,0
conscientiously and meticulously,1,0
conscientiousness,1,0
considerate,1,0
considerately,1,0
consistent,1,0
consistently,1,0
consonant,1,0
conspicuous,1,0
conspicuously,1,0
conspicuously new,1,0
conspicuousness,1,0
constant,1,0
constant effort brings success,1,0
constantly,1,0
constitutional,1,0
constructive,1,0
consummate,1,0
contemplative,1,0
contemplativeness,1,0
contributory,1,0
convenient,1,0
conveniently,1,0
conventional,0,1
conversant,1,0
conversant with things past and present,1,0
convincing,1,0
cool,0,1
cool and bright,1,0
cool-headed,1,0
coquettish,0,1
cordial,1,0
cordial and friendly,1,0
cordiality,1,0
cordially,1,0
correct,1,0
correctly,1,0
cosily,1,0
costless,1,0
costly,0,1
cosummate,1,0
cosy,1,0
count as one of the very best,1,0
country prospers and the people are at peace,1,0
courageous,1,0
courageous and resolute,1,0
courageously,1,0
courageously and resolutely,1,0
courteous,1,0
courteously,1,0
cozy,1,0
creamy,1,0
creative,1,0
credible,1,0
creditable,1,0
creditworthiness,1,0
crisp,1,0
critical,0,1
critically,0,1
crowned with eternal glory,1,0
crucial,1,0
crucially,1,0
crystal,1,0
crystal clear,1,0
